"Points:0","Points:1","Points:2","Q-criterion","U:0","U:1","U:2"
0.065201,-0.032449,0.03,919.77,0.063917,0.0061427,-7.0599e-22
0.065297,-0.032531,0.03,1353.3,0.079878,-0.0030966,9.1161e-22
0.065381,-0.03261,0.03,2026,0.098239,-0.013234,-4.516e-22
0.065454,-0.032687,0.03,3228.1,0.11866,-0.023782,4.7204e-22
0.065517,-0.032763,0.03,4787.5,0.13948,-0.033393,-5.0874e-23
0.065577,-0.032837,0.03,6014.4,0.15879,-0.040827,2.2747e-22
0.065654,-0.032907,0.03,15450,0.17164,-0.043814,2.0933e-22
0.065194,-0.032215,0.03,-125.47,0.022186,0.031777,7.8072e-14
0.0652,-0.032207,0.03,-128.53,0.023628,0.03067,2.802e-22
0.065316,-0.032282,0.03,-118.78,0.025182,0.029603,-2.2065e-21
0.065424,-0.032348,0.03,-107.34,0.026937,0.028379,6.2775e-22
0.065524,-0.032405,0.03,-103.19,0.02892,0.026952,6.6477e-22
0.065617,-0.032453,0.03,-30.217,0.031538,0.025083,4.5482e-23
0.065705,-0.032492,0.03,-92.091,0.034184,0.022974,1.0958e-21
0.06579,-0.032525,0.03,197.44,0.038413,0.019747,4.4227e-23
0.065873,-0.032563,0.03,7176.6,0.039746,0.01809,-5.281e-22
0.065948,-0.03263,0.03,-514.69,0.035218,0.011137,-1.0211e-21
0.066013,-0.032763,0.03,-13002,0.049845,0.01285,-1.7293e-23
0.065917,-0.03293,0.03,19833,0.12096,-0.0037499,-8.6825e-24
0.065761,-0.032948,0.03,27204,0.1741,-0.036362,-1.0701e-23
0.06468,-0.032072,0.03,614.19,0.029324,0.026852,-8.186e-22
0.064686,-0.032064,0.03,601.17,0.022082,0.031426,7.8072e-14
0.06483,-0.03218,0.03,624.27,0.038017,0.021558,-1.0615e-21
0.064964,-0.03228,0.03,676.05,0.048534,0.015191,-1.2189e-21
0.065084,-0.032374,0.03,787.27,0.061126,0.0076654,-6.0368e-23
0.065191,-0.032463,0.03,1008.5,0.075972,-0.0010073,1.235e-23
0.065286,-0.032547,0.03,1506.3,0.093129,-0.010681,4.7058e-23
0.065368,-0.032629,0.03,2197.3,0.11232,-0.020886,4.336e-22
0.065438,-0.032709,0.03,3138.3,0.13283,-0.030943,-3.8281e-22
0.065499,-0.032789,0.03,4382.2,0.1527,-0.039467,-1.1409e-22
0.065562,-0.032867,0.03,5464.9,0.17008,-0.0453,-1.3657e-22
0.065647,-0.032938,0.03,12548,0.18093,-0.046808,-3.497e-22
0.065073,-0.032122,0.03,-132.35,0.022122,0.031693,7.8072e-14
0.065079,-0.032114,0.03,-136.25,0.023638,0.03053,6.2476e-22
